# Canonical UCI <-> upstream option schema for cake-autorate 3.2.2.
# Generated from defaults.sh at the pinned tag plus docs/upstream-option-inventory.md;
# verified by tests/schema/test-uci-schema.sh. Tab-separated, 10 columns.
#
# type:      integer | float | bool | string | list  (upstream `typeof` class;
#            bool is an integer restricted to 0/1, list is a bash array literal)
# managed:   user    - free for the user to set
#            bounded - user-settable, bridge must clamp to a sane non-zero range
#            forced  - bridge overwrites unconditionally with uci_default
# essential: yes -> shown in the LuCI Essentials group; a fresh instance needs
#            only these edited to be a working configuration
#
#uci_option	upstream_option	type	uci_default	upstream_default	managed	direction	group	essential	units_range
output_processing_stats	output_processing_stats	bool	0	0	user	global	logging	no	0 or 1
output_load_stats	output_load_stats	bool	0	0	user	global	logging	no	0 or 1
output_reflector_stats	output_reflector_stats	bool	0	0	user	global	logging	no	0 or 1
output_summary_stats	output_summary_stats	bool	1	0	forced	global	logging	no	0 or 1
output_cake_changes	output_cake_changes	bool	0	0	user	global	logging	no	0 or 1
debug	debug	bool	0	1	user	global	logging	no	0 or 1
log_DEBUG_messages_to_syslog	log_DEBUG_messages_to_syslog	bool	0	0	forced	global	logging	no	0 or 1
log_to_file	log_to_file	bool	1	1	forced	global	logging	no	0 or 1
log_file_max_time_mins	log_file_max_time_mins	integer	10	10	bounded	global	logging	no	minutes, > 0
log_file_max_size_KB	log_file_max_size_KB	integer	2000	2000	bounded	global	logging	no	KB (bytes/1024), > 0
log_file_path_override	log_file_path_override	string			forced	global	logging	no	absolute path to an existing directory, or empty
dl_if	dl_if	string	ifb-wan	ifb-wan	user	ingress	essentials	yes	interface name, non-empty
ul_if	ul_if	string	wan	wan	user	egress	essentials	yes	interface name, non-empty
pinger_binary	pinger_binary	string	fping	fping	user	global	pingers	no	one of fping, tsping, ping
reflectors	reflectors	list	1.1.1.1 1.0.0.1 8.8.8.8 8.8.4.4 9.9.9.9 9.9.9.10 9.9.9.11 94.140.14.15 94.140.14.140 94.140.14.141 94.140.15.15 94.140.15.16 64.6.65.6 156.154.70.1 156.154.70.2 156.154.70.3 156.154.70.4 156.154.70.5 156.154.71.1 156.154.71.2 156.154.71.3 156.154.71.4 156.154.71.5 208.67.220.2 208.67.220.123 208.67.220.220 208.67.222.2 208.67.222.123 185.228.168.9 185.228.168.10	1.1.1.1 1.0.0.1 8.8.8.8 8.8.4.4 9.9.9.9 9.9.9.10 9.9.9.11 94.140.14.15 94.140.14.140 94.140.14.141 94.140.15.15 94.140.15.16 64.6.65.6 156.154.70.1 156.154.70.2 156.154.70.3 156.154.70.4 156.154.70.5 156.154.71.1 156.154.71.2 156.154.71.3 156.154.71.4 156.154.71.5 208.67.220.2 208.67.220.123 208.67.220.220 208.67.222.2 208.67.222.123 185.228.168.9 185.228.168.10	user	global	reflectors	no	list of IPv4/IPv6 addresses; length should be ≥ no_pingers
randomize_reflectors	randomize_reflectors	bool	1	1	user	global	reflectors	no	0 or 1
no_pingers	no_pingers	integer	6	6	user	global	pingers	no	count, ≥ 1 and ≤ ${#reflectors[@]}
reflector_ping_interval_s	reflector_ping_interval_s	float	0.3	0.3	user	global	pingers	no	seconds
dl_owd_delta_thr_ms	dl_owd_delta_thr_ms	float	30.0	30.0	user	ingress	detection	no	milliseconds
ul_owd_delta_thr_ms	ul_owd_delta_thr_ms	float	30.0	30.0	user	egress	detection	no	milliseconds
dl_avg_owd_delta_thr_ms	dl_avg_owd_delta_thr_ms	float	60.0	60.0	user	ingress	detection	no	milliseconds
ul_avg_owd_delta_thr_ms	ul_avg_owd_delta_thr_ms	float	60.0	60.0	user	egress	detection	no	milliseconds
